period,state,medium,partisanship_scenario,diet_threshold,left_pct,right_pct,left_size,right_size
Last 6 months,WA,tv,lenient,50,0.0775,0.0720,481138.5590,446896.4122
Last 6 months,WA,tv,stringent,50,0.0485,0.0720,301078.3109,446896.4122
Last 6 months,WI,tv,lenient,50,0.0495,0.0721,257372.5333,375464.8447
Last 6 months,WI,tv,stringent,50,0.0311,0.0721,161482.8062,375464.8447
Last 6 months,WV,tv,lenient,50,0.0546,0.1129,90292.6337,187110.4662
Last 6 months,WV,tv,stringent,50,0.0321,0.1129,53039.1554,187110.4662
Last 6 months,WY,tv,lenient,50,0.0368,0.0788,14359.0304,32484.2561
Last 6 months,WY,tv,stringent,50,0.0109,0.0788,4299.0403,32484.2561
Since 2016,AK,tv,lenient,50,0.0464,0.0962,19505.8796,38050.3575
Since 2016,AK,tv,stringent,50,0.0302,0.0962,12452.6091,38050.3575
Since 2016,AL,tv,lenient,50,0.0687,0.1276,286283.4062,528876.9288
Since 2016,AL,tv,stringent,50,0.0266,0.1276,110642.2726,528876.9288
Since 2016,AR,tv,lenient,50,0.0503,0.1069,123325.5757,261493.7754
Since 2016,AR,tv,stringent,50,0.0191,0.1069,47160.9208,261493.7754
Since 2016,AZ,tv,lenient,50,0.0815,0.0890,445344.0227,486924.3202
Since 2016,AZ,tv,stringent,50,0.0329,0.0890,179244.5877,486924.3202
Since 2016,CA,tv,lenient,50,0.0996,0.0666,3203109.6389,2141867.0200
Since 2016,CA,tv,stringent,50,0.0412,0.0666,1324188.6514,2141867.0200
Since 2016,CO,tv,lenient,50,0.0797,0.0867,354730.9635,386009.2218
Since 2016,CO,tv,stringent,50,0.0361,0.0867,161060.7018,386009.2218
Since 2016,CT,tv,lenient,50,0.1082,0.0921,316565.1630,270601.8928
Since 2016,CT,tv,stringent,50,0.0469,0.0921,137199.8973,270601.8928
Since 2016,DC,tv,lenient,50,0.1866,0.0168,105393.9473,9457.8829
Since 2016,DC,tv,stringent,50,0.0963,0.0168,54676.4463,9457.8829
Since 2016,DE,tv,lenient,50,0.1010,0.0817,80572.9065,65187.0351
Since 2016,DE,tv,stringent,50,0.0403,0.0817,32195.1727,65187.0351
Since 2016,FL,tv,lenient,50,0.0958,0.1074,1698524.7358,1909514.6257
Since 2016,FL,tv,stringent,50,0.0390,0.1074,692350.5316,1909514.6257
Since 2016,GA,tv,lenient,50,0.0861,0.1001,764505.4350,888146.0284
Since 2016,GA,tv,stringent,50,0.0310,0.1001,275789.8679,888146.0284
Since 2016,HI,tv,lenient,50,0.0947,0.0962,102794.6701,105424.7875
Since 2016,HI,tv,stringent,50,0.0486,0.0962,52905.5693,105424.7875
Since 2016,IA,tv,lenient,50,0.0515,0.0846,132982.0416,216737.9286
Since 2016,IA,tv,stringent,50,0.0208,0.0846,53691.7065,216737.9286
Since 2016,ID,tv,lenient,50,0.0335,0.1153,45323.4134,156771.9825
