state,program,network,period,value,medium
ID,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,69904,tv
WV,CNN NEWSROOM,CNN,Last month,69224,tv
DC,NBC NIGHTLY NEWS,NBC Affiliates,Last month,68659,tv
MT,SPECIAL RPT W/BRET BAIER,FOXNC,Last month,68620,tv
ID,"INGRAHAM ANGLE, THE",FOXNC,Last month,68475,tv
WY,CNN NEWSROOM,CNN,Last month,68381,tv
MT,DATELINE: SECRETS UNCOVRD,OXYG,Last month,68322,tv
SD,NBC NITELY NEWS-SUN,NBC Affiliates,Last month,67631,tv
HI,CBS WEEKEND NEWS-SUN,CBS  Affiliates,Last month,67456,tv
WV,ONE NATION,FOXNC,Last month,67357,tv
HI,CNN TONIGHT,CNN,Last month,66935,tv
MT,JESSE WATTERS PRIMETIME,FOXNC,Last month,66516,tv
DE,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,65690,tv
WY,VENGEANCE: KILLER LOVERS,HLN,Last month,65324,tv
HI,60 MINUTES,CBS  Affiliates,Last month,65299,tv
HI,DEADLINE:WHITE HOUSE,MSNBC,Last month,64007,tv
NH,60 MINUTES,CBS  Affiliates,Last month,63909,tv
DE,CNN NEWSROOM,CNN,Last month,62106,tv
SD,HANNITY,FOXNC,Last month,59142,tv
WY,CBS EVENING NEWS,CBS  Affiliates,Last month,58924,tv
NH,CNN NEWSROOM,CNN,Last month,57954,tv
MT,GUTFELD!,FOXNC,Last month,56333,tv
DE,TODAY SHOW,NBC Affiliates,Last month,55730,tv
ND,TODAY SHOW,NBC Affiliates,Last month,55103,tv
DE,CBS SATURDAY MORNING,CBS  Affiliates,Last month,54246,tv
NH,CBS EVENING NEWS,CBS  Affiliates,Last month,53841,tv
DE,VENGEANCE: KILLER LOVERS,HLN,Last month,53484,tv
NH,WNT-ABC,ABC Affiliates,Last month,51758,tv
ND,NBC NITELY NEWS-SUN,NBC Affiliates,Last month,50366,tv
DC,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,49967,tv
NH,TUCKER CARLSON TONIGHT,FOXNC,Last month,49902,tv
VT,REIDOUT,MSNBC,Last month,49608,tv
NH,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,Last month,49605,tv
AK,TODAY SHOW,NBC Affiliates,Last month,47898,tv
NH,NBC NIGHTLY NEWS,NBC Affiliates,Last month,47479,tv
VT,DEADLINE:WHITE HOUSE,MSNBC,Last month,47428,tv
VT,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,46709,tv
DE,TODAY HODA & JENNA,NBC Affiliates,Last month,46146,tv
DE,CBS EVENING NEWS,CBS  Affiliates,Last month,45376,tv
WY,FOX NEWS LIVE,FOXNC,Last month,43077,tv
WY,AMERICA REPORTS,FOXNC,Last month,43077,tv
WY,OUTNUMBERED,FOXNC,Last month,43077,tv
ND,60 MINUTES,CBS  Affiliates,Last month,41731,tv
WY,"STORY, THE",FOXNC,Last month,39671,tv
VT,AMERICAS NEWSROOM,FOXNC,Last month,39616,tv
DC,TODAY HODA & JENNA,NBC Affiliates,Last month,37553,tv
WY,FORENSIC FILES,HLN,Last month,37174,tv
DC,60 MINUTES,CBS  Affiliates,Last month,36499,tv
ND,TONIGHT SHOW,NBC Affiliates,Last month,35342,tv
AK,LAST WORD W/ L. ODONNELL,MSNBC,Last month,33739,tv
AK,11TH HOUR W/B. WILLIAMS,MSNBC,Last month,33739,tv
WY,LEAD WITH JAKE TAPPER,CNN,Last month,33663,tv
DC,CNN NEWSROOM,CNN,Last month,32195,tv
ND,ABC WORLD NEWS TONIGHT,ABC Affiliates,Last month,31698,tv
DC,TODAY SHOW,NBC Affiliates,Last month,31160,tv
AK,"INGRAHAM ANGLE, THE",FOXNC,Last month,29650,tv
ND,JESSE WATTERS PRIMETIME,FOXNC,Last month,29337,tv
AK,COURT TV LIVE 9A,Court TV,Last month,28513,tv
AK,RACHEL MADDOW SHOW,MSNBC,Last month,28014,tv
AK,DEADLINE:WHITE HOUSE,MSNBC,Last month,28014,tv
AK,BEAT W/ARI MELBER,MSNBC,Last month,28014,tv
DC,NBC NITELY NEWS-SUN,NBC Affiliates,Last month,27903,tv
DC,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,Last month,27348,tv
DC,TODAY THIRD HOUR,NBC Affiliates,Last month,27153,tv
ND,SUNDAY MORNING,CBS  Affiliates,Last month,26632,tv
ND,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,Last month,26632,tv
AK,FORENSIC FILES,HLN,Last month,26521,tv
DC,20/20-FRI,ABC Affiliates,Last month,26418,tv
ND,DATELINE FRI,NBC Affiliates,Last month,23289,tv
CA,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,69347,tv
NY,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,66589,tv
TX,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,66285,tv
FL,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,63453,tv
CA,CNN NEWSROOM,CNN,since 2016,58694,tv
CA,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,57061,tv
TX,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,55920,tv
FL,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,55829,tv
TX,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,55384,tv
PA,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,54615,tv
NY,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,52101,tv
NY,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,49242,tv
CA,NOTICIERO UNIVISION,Univision Affiliates,since 2016,48737,tv
FL,TODAY SHOW,NBC Affiliates,since 2016,44847,tv
TX,60 MINUTES,CBS  Affiliates,since 2016,44521,tv
IL,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,44466,tv
MI,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,43697,tv
TX,TODAY SHOW,NBC Affiliates,since 2016,43203,tv
CA,PRIMER IMPACTO,Univision Affiliates,since 2016,41674,tv
NC,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,41147,tv
NY,TODAY SHOW,NBC Affiliates,since 2016,41107,tv
TX,NOTICIERO UNIVISION,Univision Affiliates,since 2016,40319,tv
CA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,40190,tv
NY,60 MINUTES,CBS  Affiliates,since 2016,40186,tv
TX,"GOOD MORNING, AMERICA",ABC Affiliates,since 2016,40121,tv
PA,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,40096,tv
NY,CNN NEWSROOM,CNN,since 2016,39986,tv
PA,"GOOD MORNING, AMERICA",ABC Affiliates,since 2016,39975,tv
NY,"GOOD MORNING, AMERICA",ABC Affiliates,since 2016,39003,tv
OH,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,38283,tv
CA,60 MINUTES,CBS  Affiliates,since 2016,38064,tv
NJ,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,37758,tv
FL,"GOOD MORNING, AMERICA",ABC Affiliates,since 2016,37631,tv
FL,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,37390,tv
FL,60 MINUTES,CBS  Affiliates,since 2016,37276,tv
FL,CNN NEWSROOM,CNN,since 2016,36767,tv
OH,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,36747,tv
OH,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,36318,tv
GA,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,35784,tv
NC,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,35774,tv
CA,TODAY SHOW,NBC Affiliates,since 2016,33679,tv
CA,"GOOD MORNING, AMERICA",ABC Affiliates,since 2016,33002,tv
TX,CNN NEWSROOM,CNN,since 2016,32645,tv
TN,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,32594,tv
MA,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,32493,tv
VA,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,32480,tv
TX,PRIMER IMPACTO,Univision Affiliates,since 2016,31663,tv
OH,60 MINUTES,CBS  Affiliates,since 2016,31429,tv
VA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,31068,tv
IL,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,30635,tv
PA,60 MINUTES,CBS  Affiliates,since 2016,30329,tv
FL,NOTICIAS TELEMUNDO,Telemundo Affiliates,since 2016,30120,tv
CA,LAST WORD W/ L. ODONNELL,MSNBC,since 2016,30017,tv
PA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,29786,tv
IL,"GOOD MORNING, AMERICA",ABC Affiliates,since 2016,29737,tv
OH,TODAY SHOW,NBC Affiliates,since 2016,29693,tv
NY,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,since 2016,28851,tv
MI,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,28845,tv
VA,TODAY SHOW,NBC Affiliates,since 2016,28653,tv
TX,20/20-FRI,ABC Affiliates,since 2016,28525,tv
TN,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,28364,tv
PA,TODAY SHOW,NBC Affiliates,since 2016,27713,tv
WI,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,26966,tv
FL,"FIVE, THE",FOXNC,since 2016,26516,tv
SC,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,26320,tv
GA,"GOOD MORNING, AMERICA",ABC Affiliates,since 2016,26119,tv
FL,TUCKER CARLSON TONIGHT,FOXNC,since 2016,25590,tv
MO,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,25416,tv
IL,60 MINUTES,CBS  Affiliates,since 2016,25209,tv
NY,CBS EVENING NEWS,CBS  Affiliates,since 2016,24957,tv
NC,TODAY SHOW,NBC Affiliates,since 2016,24870,tv
LA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,24762,tv
NY,LAST WORD W/ L. ODONNELL,MSNBC,since 2016,24674,tv
TN,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,24430,tv
MI,60 MINUTES,CBS  Affiliates,since 2016,24409,tv
NC,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,24226,tv
IL,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,23877,tv
VA,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,23363,tv
MO,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,23315,tv
IN,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,23290,tv
MI,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,23114,tv
PA,CNN NEWSROOM,CNN,since 2016,22887,tv
OH,CBS EVENING NEWS,CBS  Affiliates,since 2016,22637,tv
NJ,"GOOD MORNING, AMERICA",ABC Affiliates,since 2016,22476,tv
MI,TODAY SHOW,NBC Affiliates,since 2016,22462,tv
NC,60 MINUTES,CBS  Affiliates,since 2016,21654,tv
IL,TODAY SHOW,NBC Affiliates,since 2016,21053,tv
NC,"GOOD MORNING, AMERICA",ABC Affiliates,since 2016,20993,tv
NJ,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,20857,tv
OH,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,since 2016,20227,tv
MA,"GOOD MORNING, AMERICA",ABC Affiliates,since 2016,20183,tv
GA,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,19680,tv
MA,60 MINUTES,CBS  Affiliates,since 2016,19267,tv
IN,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,19252,tv
OH,"GOOD MORNING, AMERICA",ABC Affiliates,since 2016,19172,tv
OK,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,19115,tv
SC,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,19062,tv
NJ,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,19034,tv
NC,CNN NEWSROOM,CNN,since 2016,19009,tv
MN,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,18735,tv
WA,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,18602,tv
VA,60 MINUTES,CBS  Affiliates,since 2016,18573,tv
IA,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,18533,tv
PA,TUCKER CARLSON TONIGHT,FOXNC,since 2016,18358,tv
VA,"GOOD MORNING, AMERICA",ABC Affiliates,since 2016,18276,tv
NJ,CNN NEWSROOM,CNN,since 2016,18240,tv
TN,TODAY SHOW,NBC Affiliates,since 2016,18111,tv
GA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,18042,tv
PA,20/20-FRI,ABC Affiliates,since 2016,18036,tv
WI,"GOOD MORNING, AMERICA",ABC Affiliates,since 2016,18035,tv
NJ,60 MINUTES,CBS  Affiliates,since 2016,17778,tv
PA,"FIVE, THE",FOXNC,since 2016,17727,tv
MD,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,17712,tv
OH,HANNITY,FOXNC,since 2016,17689,tv
AL,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,17561,tv
KY,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,17463,tv
SC,TODAY SHOW,NBC Affiliates,since 2016,17453,tv
OH,CNN NEWSROOM,CNN,since 2016,17174,tv
IL,CNN NEWSROOM,CNN,since 2016,17172,tv
MO,60 MINUTES,CBS  Affiliates,since 2016,17059,tv
TN,"GOOD MORNING, AMERICA",ABC Affiliates,since 2016,16987,tv
TN,60 MINUTES,CBS  Affiliates,since 2016,16930,tv
MI,"GOOD MORNING, AMERICA",ABC Affiliates,since 2016,16866,tv
MD,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,16821,tv
IL,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,since 2016,16661,tv
VA,CNN NEWSROOM,CNN,since 2016,16647,tv
MN,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,16631,tv
WI,60 MINUTES,CBS  Affiliates,since 2016,16608,tv
NJ,TODAY SHOW,NBC Affiliates,since 2016,16202,tv
GA,CNN NEWSROOM,CNN,since 2016,16128,tv
MI,CNN NEWSROOM,CNN,since 2016,16059,tv
MI,CBS EVENING NEWS,CBS  Affiliates,since 2016,15840,tv
KY,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,15831,tv
LA,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,15612,tv
IN,TODAY SHOW,NBC Affiliates,since 2016,15545,tv
CT,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,15543,tv
WI,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,15507,tv
CO,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,15364,tv
AL,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,15221,tv
MD,60 MINUTES,CBS  Affiliates,since 2016,15212,tv
WI,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,15137,tv
MA,CNN NEWSROOM,CNN,since 2016,15082,tv
AZ,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,15005,tv
MO,CBS EVENING NEWS,CBS  Affiliates,since 2016,14996,tv
IN,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,14899,tv
IL,20/20-FRI,ABC Affiliates,since 2016,14707,tv
TN,CBS EVENING NEWS,CBS  Affiliates,since 2016,14571,tv
GA,DATELINE: SECRETS UNCOVRD,OXYG,since 2016,14566,tv
MA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,14307,tv
AZ,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,14082,tv
AR,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,14010,tv
MN,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,13999,tv
TN,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,since 2016,13986,tv
NJ,20/20-FRI,ABC Affiliates,since 2016,13874,tv
NJ,TUCKER CARLSON TONIGHT,FOXNC,since 2016,13835,tv
IA,TODAY SHOW,NBC Affiliates,since 2016,13702,tv
MA,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,13584,tv
NC,TUCKER CARLSON TONIGHT,FOXNC,since 2016,13507,tv
NC,HANNITY,FOXNC,since 2016,13498,tv
MS,TODAY SHOW,NBC Affiliates,since 2016,13427,tv
VA,TODAY THIRD HOUR,NBC Affiliates,since 2016,13418,tv
MO,TODAY SHOW,NBC Affiliates,since 2016,13376,tv
LA,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,13362,tv
IL,GMA NSNA,ABC Affiliates,since 2016,13191,tv
TN,AMERICAS NEWSROOM,FOXNC,since 2016,12972,tv
NJ,"FIVE, THE",FOXNC,since 2016,12854,tv
MO,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,12775,tv
VA,TODAY HODA & JENNA,NBC Affiliates,since 2016,12687,tv
CO,60 MINUTES,CBS  Affiliates,since 2016,12671,tv
WA,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,12640,tv
IN,60 MINUTES,CBS  Affiliates,since 2016,12621,tv
NC,SPECIAL RPT W/BRET BAIER,FOXNC,since 2016,12613,tv
MN,60 MINUTES,CBS  Affiliates,since 2016,12510,tv
AL,TODAY SHOW,NBC Affiliates,since 2016,12356,tv
VA,TUCKER CARLSON TONIGHT,FOXNC,since 2016,12228,tv
MA,TODAY SHOW,NBC Affiliates,since 2016,12183,tv
MD,TODAY SHOW,NBC Affiliates,since 2016,12128,tv
MD,CNN NEWSROOM,CNN,since 2016,12045,tv
KY,TODAY SHOW,NBC Affiliates,since 2016,12029,tv
AL,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,11922,tv
TN,FOX AND FRIENDS,FOXNC,since 2016,11911,tv
GA,GMA NSNA,ABC Affiliates,since 2016,11893,tv
MN,TODAY SHOW,NBC Affiliates,since 2016,11886,tv
MI,20/20-FRI,ABC Affiliates,since 2016,11703,tv
GA,60 MINUTES,CBS  Affiliates,since 2016,11604,tv
KY,"GOOD MORNING, AMERICA",ABC Affiliates,since 2016,11538,tv
AZ,CNN NEWSROOM,CNN,since 2016,11532,tv
LA,CBS EVENING NEWS,CBS  Affiliates,since 2016,11487,tv
CO,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,11422,tv
GA,CBS EVENING NEWS,CBS  Affiliates,since 2016,11415,tv
OR,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,11405,tv
LA,TODAY SHOW,NBC Affiliates,since 2016,11241,tv
LA,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,since 2016,11229,tv
OK,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,11221,tv
MS,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,11208,tv
SC,CBS EVENING NEWS,CBS  Affiliates,since 2016,11150,tv
CT,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,11121,tv
OK,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,11100,tv
GA,TODAY SHOW,NBC Affiliates,since 2016,10965,tv
WV,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,10908,tv
IA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,10880,tv
MS,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,10804,tv
MA,20/20-FRI,ABC Affiliates,since 2016,10777,tv
MI,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,since 2016,10757,tv
MN,"GOOD MORNING, AMERICA",ABC Affiliates,since 2016,10650,tv
MO,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,since 2016,10604,tv
KY,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,10520,tv
CT,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,10426,tv
KS,60 MINUTES,CBS  Affiliates,since 2016,10295,tv
OK,CBS EVENING NEWS,CBS  Affiliates,since 2016,10095,tv
AZ,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,10000,tv
NH,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,9783,tv
NM,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,9687,tv
LA,60 MINUTES,CBS  Affiliates,since 2016,9673,tv
MA,CBS EVENING NEWS,CBS  Affiliates,since 2016,9645,tv
IN,CBS EVENING NEWS,CBS  Affiliates,since 2016,9503,tv
KY,CBS EVENING NEWS,CBS  Affiliates,since 2016,9452,tv
ME,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,9424,tv
SC,60 MINUTES,CBS  Affiliates,since 2016,9383,tv
CT,60 MINUTES,CBS  Affiliates,since 2016,9380,tv
SC,"FIVE, THE",FOXNC,since 2016,9309,tv
AR,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,9258,tv
WI,TODAY SHOW,NBC Affiliates,since 2016,9209,tv
CT,TODAY SHOW,NBC Affiliates,since 2016,9206,tv
AL,60 MINUTES,CBS  Affiliates,since 2016,9203,tv
MA,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,since 2016,9135,tv
AZ,60 MINUTES,CBS  Affiliates,since 2016,9122,tv
AL,HANNITY,FOXNC,since 2016,9066,tv
WV,TODAY SHOW,NBC Affiliates,since 2016,8961,tv
NV,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,8934,tv
MO,CNN NEWSROOM,CNN,since 2016,8871,tv
SC,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,8855,tv
LA,"FIVE, THE",FOXNC,since 2016,8838,tv
WI,CBS EVENING NEWS,CBS  Affiliates,since 2016,8834,tv
IA,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,8814,tv
CO,TODAY SHOW,NBC Affiliates,since 2016,8807,tv
AZ,TODAY SHOW,NBC Affiliates,since 2016,8791,tv
AR,"GOOD MORNING, AMERICA",ABC Affiliates,since 2016,8787,tv
SC,TUCKER CARLSON TONIGHT,FOXNC,since 2016,8741,tv
OK,"GOOD MORNING, AMERICA",ABC Affiliates,since 2016,8706,tv
OK,60 MINUTES,CBS  Affiliates,since 2016,8703,tv
SC,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,since 2016,8673,tv
RI,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,8645,tv
LA,"GOOD MORNING, AMERICA",ABC Affiliates,since 2016,8620,tv
SC,SPECIAL RPT W/BRET BAIER,FOXNC,since 2016,8566,tv
MN,CBS EVENING NEWS,CBS  Affiliates,since 2016,8529,tv
ID,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,8487,tv
AL,TUCKER CARLSON TONIGHT,FOXNC,since 2016,8486,tv
CO,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,8470,tv
MO,CBS SATURDAY MORNING,CBS  Affiliates,since 2016,8440,tv
WA,60 MINUTES,CBS  Affiliates,since 2016,8411,tv
KS,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,8356,tv
MN,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,since 2016,8326,tv
KY,CBS SATURDAY MORNING,CBS  Affiliates,since 2016,8314,tv
WA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,8309,tv
MO,"FIVE, THE",FOXNC,since 2016,8291,tv
OK,TODAY SHOW,NBC Affiliates,since 2016,8279,tv
AL,CBS EVENING NEWS,CBS  Affiliates,since 2016,8237,tv
KY,60 MINUTES,CBS  Affiliates,since 2016,8201,tv
LA,AMERICAS NEWSROOM,FOXNC,since 2016,8164,tv
MD,CBS EVENING NEWS,CBS  Affiliates,since 2016,8119,tv
NV,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,8108,tv
IN,"GOOD MORNING, AMERICA",ABC Affiliates,since 2016,8024,tv
RI,TODAY SHOW,NBC Affiliates,since 2016,7995,tv
WI,20/20-FRI,ABC Affiliates,since 2016,7953,tv
AL,"GOOD MORNING, AMERICA",ABC Affiliates,since 2016,7928,tv
AR,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,7901,tv
MS,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,7891,tv
MN,20/20-FRI,ABC Affiliates,since 2016,7827,tv
AL,AMERICAS NEWSROOM,FOXNC,since 2016,7774,tv
MD,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,7773,tv
KS,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,7764,tv
IN,20/20-FRI,ABC Affiliates,since 2016,7735,tv
WI,DATELINE: SECRETS UNCOVRD,OXYG,since 2016,7560,tv
NV,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,7539,tv
MD,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,since 2016,7529,tv
AR,60 MINUTES,CBS  Affiliates,since 2016,7513,tv
WA,CNN NEWSROOM,CNN,since 2016,7341,tv
WI,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,since 2016,7307,tv
MS,TODAY HODA & JENNA,NBC Affiliates,since 2016,7268,tv
IN,CBS SATURDAY MORNING,CBS  Affiliates,since 2016,7227,tv
WA,"GOOD MORNING, AMERICA",ABC Affiliates,since 2016,7162,tv
KY,AMERICA REPORTS,FOXNC,since 2016,7135,tv
KY,DATELINE: SECRETS UNCOVRD,OXYG,since 2016,7032,tv
NV,CNN NEWSROOM,CNN,since 2016,7030,tv
AZ,HANNITY,FOXNC,since 2016,6977,tv
CT,CNN NEWSROOM,CNN,since 2016,6971,tv
IN,CNN NEWSROOM,CNN,since 2016,6967,tv
AZ,TUCKER CARLSON TONIGHT,FOXNC,since 2016,6844,tv
CO,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,since 2016,6792,tv
WA,HANNITY,FOXNC,since 2016,6786,tv
WA,TUCKER CARLSON TONIGHT,FOXNC,since 2016,6763,tv
MD,DATELINE: SECRETS UNCOVRD,OXYG,since 2016,6697,tv
CO,CNN NEWSROOM,CNN,since 2016,6562,tv
ME,ABC WORLD NEWS TONIGHT,ABC Affiliates,since 2016,6541,tv
OK,HANNITY,FOXNC,since 2016,6511,tv
WA,DATELINE: SECRETS UNCOVRD,OXYG,since 2016,6484,tv
MN,SUNDAY MORNING,CBS  Affiliates,since 2016,6451,tv
ME,TODAY SHOW,NBC Affiliates,since 2016,6439,tv
MD,LAST WORD W/ L. ODONNELL,MSNBC,since 2016,6414,tv
AZ,"INGRAHAM ANGLE, THE",FOXNC,since 2016,6394,tv
NM,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,6365,tv
NH,"GOOD MORNING, AMERICA",ABC Affiliates,since 2016,6322,tv
AZ,TODAY THIRD HOUR,NBC Affiliates,since 2016,6299,tv
SD,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,6255,tv
OK,TUCKER CARLSON TONIGHT,FOXNC,since 2016,6231,tv
OR,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,since 2016,6227,tv
NM,"GOOD MORNING, AMERICA",ABC Affiliates,since 2016,6222,tv
IA,TODAY THIRD HOUR,NBC Affiliates,since 2016,6190,tv
OR,NBC NIGHTLY NEWS,NBC Affiliates,since 2016,6181,tv
CT,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,since 2016,6169,tv
WA,CBS EVENING NEWS,CBS  Affiliates,since 2016,6167,tv
CO,"GOOD MORNING, AMERICA",ABC Affiliates,since 2016,6150,tv
IA,CNN NEWSROOM,CNN,since 2016,6113,tv
IA,60 MINUTES,CBS  Affiliates,since 2016,6067,tv
NM,TODAY SHOW,NBC Affiliates,since 2016,5977,tv
IA,HANNITY,FOXNC,since 2016,5974,tv
CO,CBS EVENING NEWS,CBS  Affiliates,since 2016,5956,tv
NV,TODAY SHOW,NBC Affiliates,since 2016,5945,tv
